SMILES,MaxSim,MolWt,LogP,TPSA,HDonors,HAcceptors,RotB,NumRings,Absorption,Distribution,Metabolism,Excretion,ToxicityFlag,LogP_deepchem,TPSA_deepchem,Absorption_deepchem,Distribution_deepchem,ToxicityFlag_deepchem,Lipinski
C[C@]12C(=O)CC=CC1=CC[C@@H]1[C@@H]2CC[C@]2(O)C(=O)O[C@@]3(C)[C@H]4C[C@]5(C)[C@@H](CO[C@@]16O[C@@]32[C@H]5C6=O)C(=O)O4.[4*]CC(C)C,0.8947368421052632,567.6550000000004,3.1670000000000016,125.42999999999999,1,9,1,8,True,False,True,True,True,,,,,,False
C[C@]12C(=O)CC=CC1=CC[C@@H]1[C@@H]2CC[C@]2(O)C(=O)O[C@@]3(C)[C@H]4C[C@]5(C)[C@@H](CO[C@@]16O[C@@]32[C@H]5C6=O)C(=O)O4.[16*]c1ccccc1[16*],0.8947368421052632,586.6370000000004,1.5928,125.42999999999999,1,9,0,9,True,False,True,True,True,,,,,,False
C[C@]12C(=O)CC=CC1=CC[C@@H]1[C@@H]2CC[C@]2(O)C(=O)O[C@@]3(C)[C@H]4C[C@]5(C)[C@@H](CO[C@@]16O[C@@]32[C@H]5C6=O)C(=O)O4.[8*]CC(C)C,0.8947368421052632,567.6550000000003,3.1670000000000016,125.42999999999999,1,9,1,8,True,False,True,True,True,,,,,,False
C[C@]12C(=O)CC=CC1=CC[C@@H]1[C@@H]2CC[C@]2(O)C(=O)O[C@@]3(C)[C@H]4C[C@]5(C)[C@@H](CO[C@@]16O[C@@]32[C@H]5C6=O)C(=O)O4.[4*]CC(C)(C)C,0.8947368421052632,581.6820000000004,3.557100000000002,125.42999999999999,1,9,0,8,True,False,True,True,True,,,,,,False
C[C@]12C(=O)CC=CC1=CC[C@@H]1[C@@H]2CC[C@]2(O)C(=O)O[C@@]3(C)[C@H]4C[C@]5(C)[C@@H](CO[C@@]16O[C@@]32[C@H]5C6=O)C(=O)O4.[3*]O[3*]C,0.8947368421052632,541.5730000000003,2.0723999999999996,134.66,1,10,1,8,True,False,True,True,True,,,,,,False
CC1=C2C[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C.[6*]C(N)=O,0.8939393939393939,455.66300000000024,4.616300000000004,84.58000000000001,3,4,0,6,True,True,True,True,True,,,,,,True
CC1=C2C[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C.[11*]S[11*].[8*]C[8*],0.8939393939393939,457.7240000000002,6.110900000000005,41.49,2,4,0,6,False,False,True,False,True,,,,,,True
CC1=C2C[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C.[5*]N([5*])[5*]C,0.8939393939393939,440.67200000000025,5.267000000000005,44.730000000000004,2,4,1,6,False,False,True,False,True,,,,,,True
CC1=C2C[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C.C[11*]SC,0.8939393939393939,473.7670000000002,6.399400000000006,41.49,2,4,1,6,False,False,True,False,True,,,,,,True
CC1=C2C[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C.[8*]C(C)C(C)C,0.8939393939393939,482.7730000000003,7.002000000000007,41.49,2,3,1,6,False,False,True,False,True,,,,,,True
